gender,batch,avg_pre_covid_use,avg_post_covid_use
F,Final,8 or more hrs per day,8 or more hrs per day
M,Final,4 to 6 hrs per day,4 to 6 hrs per day
M,Final,6 to 8 hrs per day,6 to 8 hrs per day
F,Final,4 to 6 hrs per day,6 to 8 hrs per day
F,Final,2 to 4 hrs per day,4 to 6 hrs per day
M,Final,4 to 6 hrs per day,8 or more hrs per day
F,Final,4 to 6 hrs per day,6 to 8 hrs per day
M,Final,8 or more hrs per day,8 or more hrs per day
M,Final,0 to 2 hrs per day,0 to 2 hrs per day
F,Final,6 to 8 hrs per day,4 to 6 hrs per day
F,Final,2 to 4 hrs per day,8 or more hrs per day
F,Final,4 to 6 hrs per day,6 to 8 hrs per day
F,Final,4 to 6 hrs per day,2 to 4 hrs per day
M,Final,0 to 2 hrs per day,0 to 2 hrs per day
M,Final,4 to 6 hrs per day,6 to 8 hrs per day
F,Final,6 to 8 hrs per day,4 to 6 hrs per day
F,Final,0 to 2 hrs per day,2 to 4 hrs per day
M,Final,0 to 2 hrs per day,0 to 2 hrs per day
F,Final,6 to 8 hrs per day,8 or more hrs per day
F,Final,4 to 6 hrs per day,6 to 8 hrs per day
F,Final,0 to 2 hrs per day,0 to 2 hrs per day
F,Final,2 to 4 hrs per day,2 to 4 hrs per day
M,Final,4 to 6 hrs per day,4 to 6 hrs per day
F,Final,4 to 6 hrs per day,6 to 8 hrs per day
F,Final,4 to 6 hrs per day,2 to 4 hrs per day
F,Final,2 to 4 hrs per day,4 to 6 hrs per day
M,Final,6 to 8 hrs per day,6 to 8 hrs per day
M,Final,4 to 6 hrs per day,6 to 8 hrs per day
M,Final,4 to 6 hrs per day,8 or more hrs per day
M,Final,4 to 6 hrs per day,4 to 6 hrs per day
M,Final,0 to 2 hrs per day,0 to 2 hrs per day
M,Final,4 to 6 hrs per day,4 to 6 hrs per day
F,Final,4 to 6 hrs per day,8 or more hrs per day
M,Final,4 to 6 hrs per day,4 to 6 hrs per day
M,Final,8 or more hrs per day,8 or more hrs per day
M,Final,,6 to 8 hrs per day
M,Final,4 to 6 hrs per day,4 to 6 hrs per day
F,Final,4 to 6 hrs per day,4 to 6 hrs per day
F,Final,6 to 8 hrs per day,6 to 8 hrs per day
F,Final,8 or more hrs per day,6 to 8 hrs per day
F,Final,0 to 2 hrs per day,2 to 4 hrs per day
M,Final,6 to 8 hrs per day,6 to 8 hrs per day
M,Final,8 or more hrs per day,8 or more hrs per day
M,Final,2 to 4 hrs per day,6 to 8 hrs per day
F,Final,4 to 6 hrs per day,4 to 6 hrs per day
F,Final,2 to 4 hrs per day,8 or more hrs per day
F,Final,4 to 6 hrs per day,8 or more hrs per day
F,Final,4 to 6 hrs per day,2 to 4 hrs per day
F,Final,2 to 4 hrs per day,6 to 8 hrs per day
F,Final,2 to 4 hrs per day,6 to 8 hrs per day
F,Final,4 to 6 hrs per day,4 to 6 hrs per day
F,Final,2 to 4 hrs per day,2 to 4 hrs per day
F,Final,8 or more hrs per day,4 to 6 hrs per day
F,Final,4 to 6 hrs per day,4 to 6 hrs per day
M,Final,0 to 2 hrs per day,2 to 4 hrs per day
F,First,4 to 6 hrs per day,6 to 8 hrs per day
M,First,2 to 4 hrs per day,2 to 4 hrs per day
M,First,2 to 4 hrs per day,6 to 8 hrs per day
M,First,2 to 4 hrs per day,0 to 2 hrs per day
M,First,2 to 4 hrs per day,2 to 4 hrs per day
F,First,2 to 4 hrs per day,2 to 4 hrs per day
M,First,0 to 2 hrs per day,2 to 4 hrs per day
F,First,0 to 2 hrs per day,4 to 6 hrs per day
M,First,6 to 8 hrs per day,6 to 8 hrs per day
F,First,2 to 4 hrs per day,6 to 8 hrs per day
M,First,4 to 6 hrs per day,2 to 4 hrs per day
F,First,2 to 4 hrs per day,2 to 4 hrs per day
F,First,2 to 4 hrs per day,4 to 6 hrs per day
M,First,4 to 6 hrs per day,8 or more hrs per day
M,First,8 or more hrs per day,4 to 6 hrs per day
F,First,4 to 6 hrs per day,6 to 8 hrs per day
M,First,0 to 2 hrs per day,2 to 4 hrs per day
F,First,0 to 2 hrs per day,2 to 4 hrs per day
F,First,2 to 4 hrs per day,4 to 6 hrs per day
F,First,0 to 2 hrs per day,4 to 6 hrs per day
M,First,0 to 2 hrs per day,6 to 8 hrs per day
M,First,6 to 8 hrs per day,2 to 4 hrs per day
M,First,8 or more hrs per day,8 or more hrs per day
M,First,0 to 2 hrs per day,6 to 8 hrs per day
M,First,0 to 2 hrs per day,2 to 4 hrs per day
F,First,2 to 4 hrs per day,4 to 6 hrs per day
M,First,8 or more hrs per day,8 or more hrs per day
F,First,0 to 2 hrs per day,4 to 6 hrs per day
M,First,2 to 4 hrs per day,2 to 4 hrs per day
M,First,8 or more hrs per day,6 to 8 hrs per day
M,First,2 to 4 hrs per day,0 to 2 hrs per day
M,First,2 to 4 hrs per day,0 to 2 hrs per day
M,First,0 to 2 hrs per day,2 to 4 hrs per day
M,First,0 to 2 hrs per day,0 to 2 hrs per day
F,First,2 to 4 hrs per day,4 to 6 hrs per day
F,First,4 to 6 hrs per day,4 to 6 hrs per day
M,First,4 to 6 hrs per day,2 to 4 hrs per day
M,First,8 or more hrs per day,2 to 4 hrs per day
M,First,0 to 2 hrs per day,4 to 6 hrs per day
M,First,0 to 2 hrs per day,0 to 2 hrs per day
M,First,0 to 2 hrs per day,4 to 6 hrs per day
M,First,0 to 2 hrs per day,0 to 2 hrs per day
M,First,,
M,First,4 to 6 hrs per day,8 or more hrs per day
F,First,0 to 2 hrs per day,2 to 4 hrs per day
M,First,4 to 6 hrs per day,8 or more hrs per day
M,First,2 to 4 hrs per day,2 to 4 hrs per day
M,First,6 to 8 hrs per day,8 or more hrs per day
M,First,0 to 2 hrs per day,0 to 2 hrs per day
M,First,2 to 4 hrs per day,2 to 4 hrs per day
F,First,0 to 2 hrs per day,2 to 4 hrs per day
F,First,6 to 8 hrs per day,6 to 8 hrs per day
M,First,2 to 4 hrs per day,4 to 6 hrs per day
M,First,4 to 6 hrs per day,2 to 4 hrs per day
F,First,0 to 2 hrs per day,2 to 4 hrs per day
F,First,0 to 2 hrs per day,4 to 6 hrs per day
F,First,4 to 6 hrs per day,6 to 8 hrs per day
M,First,0 to 2 hrs per day,4 to 6 hrs per day
M,First,2 to 4 hrs per day,2 to 4 hrs per day
M,First,8 or more hrs per day,8 or more hrs per day
M,First,2 to 4 hrs per day,4 to 6 hrs per day
F,First,4 to 6 hrs per day,6 to 8 hrs per day
M,First,6 to 8 hrs per day,6 to 8 hrs per day
F,First,4 to 6 hrs per day,4 to 6 hrs per day
F,First,2 to 4 hrs per day,2 to 4 hrs per day
M,First,,
M,First,6 to 8 hrs per day,4 to 6 hrs per day
M,First,2 to 4 hrs per day,2 to 4 hrs per day
M,First,4 to 6 hrs per day,8 or more hrs per day
F,First,0 to 2 hrs per day,2 to 4 hrs per day
F,First,4 to 6 hrs per day,8 or more hrs per day
F,First,2 to 4 hrs per day,4 to 6 hrs per day
M,First,0 to 2 hrs per day,0 to 2 hrs per day
M,First,2 to 4 hrs per day,4 to 6 hrs per day
M,First,2 to 4 hrs per day,2 to 4 hrs per day
F,First,8 or more hrs per day,8 or more hrs per day
F,First,6 to 8 hrs per day,8 or more hrs per day
F,First,6 to 8 hrs per day,4 to 6 hrs per day
M,First,0 to 2 hrs per day,6 to 8 hrs per day
F,First,0 to 2 hrs per day,0 to 2 hrs per day
M,First,0 to 2 hrs per day,2 to 4 hrs per day
M,First,2 to 4 hrs per day,8 or more hrs per day
M,First,2 to 4 hrs per day,6 to 8 hrs per day
F,First,4 to 6 hrs per day,2 to 4 hrs per day
M,First,2 to 4 hrs per day,4 to 6 hrs per day
M,First,6 to 8 hrs per day,4 to 6 hrs per day
F,First,4 to 6 hrs per day,2 to 4 hrs per day
M,First,0 to 2 hrs per day,2 to 4 hrs per day
F,First,4 to 6 hrs per day,2 to 4 hrs per day
M,First,6 to 8 hrs per day,4 to 6 hrs per day
F,First,4 to 6 hrs per day,6 to 8 hrs per day
M,First,,
M,First,6 to 8 hrs per day,8 or more hrs per day
M,First,6 to 8 hrs per day,6 to 8 hrs per day
F,First,0 to 2 hrs per day,4 to 6 hrs per day
M,First,6 to 8 hrs per day,4 to 6 hrs per day
M,First,0 to 2 hrs per day,0 to 2 hrs per day
M,First,0 to 2 hrs per day,8 or more hrs per day
M,First,2 to 4 hrs per day,2 to 4 hrs per day
M,First,0 to 2 hrs per day,8 or more hrs per day
M,First,2 to 4 hrs per day,6 to 8 hrs per day
M,First,0 to 2 hrs per day,2 to 4 hrs per day
F,First,0 to 2 hrs per day,4 to 6 hrs per day
M,First,4 to 6 hrs per day,6 to 8 hrs per day
M,First,6 to 8 hrs per day,6 to 8 hrs per day
M,First,4 to 6 hrs per day,4 to 6 hrs per day
M,First,0 to 2 hrs per day,2 to 4 hrs per day
M,First,2 to 4 hrs per day,2 to 4 hrs per day
M,First,6 to 8 hrs per day,6 to 8 hrs per day
M,First,2 to 4 hrs per day,2 to 4 hrs per day
M,First,4 to 6 hrs per day,6 to 8 hrs per day
M,First,0 to 2 hrs per day,4 to 6 hrs per day
M,First,0 to 2 hrs per day,2 to 4 hrs per day
M,First,0 to 2 hrs per day,2 to 4 hrs per day
M,First,8 or more hrs per day,8 or more hrs per day
F,First,6 to 8 hrs per day,6 to 8 hrs per day
F,First,2 to 4 hrs per day,4 to 6 hrs per day
F,First,0 to 2 hrs per day,2 to 4 hrs per day
F,First,2 to 4 hrs per day,2 to 4 hrs per day
M,First,8 or more hrs per day,6 to 8 hrs per day
M,First,2 to 4 hrs per day,0 to 2 hrs per day
M,First,0 to 2 hrs per day,0 to 2 hrs per day
M,First,4 to 6 hrs per day,4 to 6 hrs per day
M,First,0 to 2 hrs per day,0 to 2 hrs per day
M,First,2 to 4 hrs per day,8 or more hrs per day
F,First,0 to 2 hrs per day,0 to 2 hrs per day
M,First,8 or more hrs per day,6 to 8 hrs per day
M,First,0 to 2 hrs per day,2 to 4 hrs per day
F,First,0 to 2 hrs per day,2 to 4 hrs per day
M,First,2 to 4 hrs per day,2 to 4 hrs per day
M,First,2 to 4 hrs per day,6 to 8 hrs per day
F,First,0 to 2 hrs per day,2 to 4 hrs per day
F,First,2 to 4 hrs per day,4 to 6 hrs per day
F,First,0 to 2 hrs per day,2 to 4 hrs per day
M,First,2 to 4 hrs per day,4 to 6 hrs per day
M,First,2 to 4 hrs per day,4 to 6 hrs per day
M,First,4 to 6 hrs per day,4 to 6 hrs per day
M,First,4 to 6 hrs per day,2 to 4 hrs per day
M,First,2 to 4 hrs per day,4 to 6 hrs per day
