gender,batch,iat_1,iat_2,iat_3,iat_4,iat_5,iat_6,iat_7,iat_8,iat_9,iat_10,iat_11,iat_12,iat_13,iat_14,iat_15,iat_16,iat_17,iat_18,iat_19,iat_20
F,Final,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
M,Final,3,1,0,1,1,2,2,2,3,2,2,3,3,3,2,1,2,2,2,1
M,Final,3,3,0,0,2,2,2,2,2,2,2,3,1,3,1,2,2,2,1,1
F,Final,5,5,1,4,3,5,3,5,1,1,1,1,1,1,1,5,5,1,1,1
F,Final,4,2,3,1,2,3,1,2,2,2,1,4,0,3,1,4,4,3,1,1
M,Final,3,3,0,1,1,2,2,2,0,2,1,3,1,3,1,2,2,2,2,1
F,Final,4,4,2,1,4,5,3,5,2,2,3,4,2,3,3,3,4,2,3,3
M,Final,4,3,0,0,3,5,4,5,1,3,5,4,4,5,2,5,4,3,4,4
M,Final,2,1,0,1,0,1,0,0,1,0,0,0,0,1,0,2,2,0,1,0
F,Final,3,1,0,0,1,0,3,2,3,2,0,1,0,0,0,0,0,0,0,0
F,Final,2,0,0,0,1,1,2,0,2,1,3,0,1,2,3,4,4,3,2,2
F,Final,4,3,0,1,4,1,4,1,3,3,3,3,4,4,4,4,3,4,3,4
F,Final,4,4,0,0,4,3,1,3,0,2,2,2,1,2,2,2,3,2,2,2
M,Final,2,1,3,2,0,0,0,1,0,1,0,0,0,1,0,1,2,0,0,0
M,Final,2,1,0,1,2,2,4,2,0,2,2,1,0,3,1,1,1,1,1,1
F,Final,3,1,0,3,1,3,0,3,0,2,2,1,0,3,0,3,5,0,0,0
F,Final,5,2,0,0,1,0,1,1,1,3,2,2,1,0,0,2,5,0,1,0
M,Final,2,2,0,1,1,1,1,1,4,2,1,4,1,2,1,1,2,1,2,1
F,Final,4,3,0,0,3,3,5,3,1,2,1,0,1,4,1,3,3,2,2,2
F,Final,2,2,0,1,2,2,1,2,3,1,3,2,3,3,1,2,1,2,1,2
F,Final,3,1,0,1,1,1,3,1,1,2,2,1,1,2,1,2,1,1,3,1
F,Final,4,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,2,0,0
M,Final,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1
F,Final,3,1,0,4,1,3,3,3,1,3,1,1,0,0,0,1,2,0,2,0
F,Final,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2
F,Final,1,1,0,0,1,0,3,0,0,0,0,2,1,1,0,0,0,0,0,0
M,Final,5,2,0,0,1,3,4,3,1,3,3,4,1,2,2,3,5,1,2,2
M,Final,1,1,0,0,0,0,0,2,4,2,1,3,3,1,1,1,2,2,0,0
M,Final,1,1,0,3,3,2,0,1,4,3,1,0,0,1,1,4,2,0,1,0
M,Final,2,2,4,1,0,1,2,2,3,2,2,2,1,2,3,2,2,1,1,1
M,Final,2,2,0,0,2,2,0,2,1,2,3,5,2,3,1,3,3,2,2,1
M,Final,0,1,5,4,0,5,0,3,0,0,0,0,0,2,0,0,2,0,2,0
F,Final,1,1,1,2,0,0,0,0,1,0,0,1,0,2,0,2,2,1,0,0
M,Final,2,2,0,0,1,2,1,2,3,3,1,2,3,1,1,2,1,3,3,1
M,Final,2,0,2,0,5,2,0,0,2,5,2,2,1,5,1,0,5,5,0,0
M,Final,3,1,2,2,1,1,1,1,1,1,2,4,1,2,1,1,1,1,1,1
M,Final,3,3,2,0,0,1,0,2,0,1,0,2,1,1,1,0,1,2,0,0
F,Final,3,2,0,1,1,2,3,2,1,3,2,2,0,2,1,3,3,2,1,2
F,Final,4,4,0,0,1,1,1,1,1,4,2,2,1,4,3,3,3,4,3,1
F,Final,5,4,3,1,3,2,0,2,1,4,2,2,2,2,3,4,4,0,3,2
F,Final,4,1,4,0,1,0,1,0,0,4,3,5,1,3,0,4,4,1,5,0
M,Final,3,1,0,0,2,0,0,0,4,3,3,3,3,0,1,2,2,3,2,1
M,Final,4,3,0,0,3,1,3,3,1,2,2,2,1,1,0,2,4,2,1,0
M,Final,2,1,1,1,1,2,1,2,1,1,1,1,2,4,1,3,2,1,0,1
F,Final,2,1,0,0,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1
F,Final,2,1,0,0,1,1,0,1,1,2,2,1,1,2,1,0,1,0,1,0
F,Final,3,2,1,1,1,1,4,2,3,2,3,2,2,3,3,3,3,2,1,3
F,Final,4,2,1,1,0,0,1,4,3,2,0,0,1,3,1,4,3,2,2,1
F,Final,4,2,0,0,1,2,1,2,1,1,1,1,0,1,1,1,4,0,0,0
F,Final,4,2,1,0,1,4,0,4,0,3,3,1,3,1,0,3,4,2,0,3
F,Final,4,2,0,0,1,1,0,2,3,4,3,1,0,2,2,3,3,3,5,2
F,Final,4,1,0,1,1,1,2,1,1,0,1,1,1,1,1,2,2,1,1,1
F,Final,2,2,0,0,2,1,0,1,1,3,0,2,3,3,1,2,1,2,2,0
F,Final,3,1,0,1,2,3,2,2,0,1,0,1,1,2,1,1,3,1,1,1
M,Final,2,1,0,0,0,2,0,1,0,0,1,1,1,1,2,2,1,0,0,1
F,First,2,1,0,1,1,1,0,1,1,1,2,3,1,2,1,2,1,1,1,1
M,First,3,3,2,1,2,3,3,4,4,5,1,2,3,5,5,5,5,4,4,2
M,First,5,5,1,4,4,4,5,0,4,3,4,3,1,5,4,5,4,5,1,2
M,First,3,1,2,2,1,2,1,3,1,2,1,1,1,2,1,3,3,2,1,1
M,First,5,3,0,1,2,5,0,0,5,3,1,1,2,1,1,5,1,4,0,2
F,First,5,2,4,0,2,5,4,5,3,4,4,1,1,4,2,4,5,3,1,2
M,First,2,1,5,0,3,3,1,2,4,3,3,0,1,5,1,4,1,5,2,3
F,First,1,1,0,0,0,2,1,2,0,1,0,1,1,0,0,1,1,0,0,1
M,First,4,4,2,0,4,3,1,5,2,3,3,2,1,3,2,4,5,4,4,3
F,First,3,2,1,2,2,2,1,2,4,4,4,4,3,4,2,4,5,4,2,2
M,First,2,1,1,1,2,2,1,5,1,1,1,1,1,2,2,2,3,2,1,1
F,First,2,1,0,1,0,1,0,1,1,0,1,2,1,2,1,1,1,1,0,1
F,First,1,1,0,0,1,1,3,0,0,5,0,3,3,0,0,4,1,1,0,2
M,First,4,4,3,2,4,4,4,3,3,3,4,4,3,2,4,3,4,4,3,3
M,First,3,3,2,1,1,2,3,2,2,3,2,2,2,2,2,2,1,1,1,2
F,First,4,2,0,0,1,1,1,1,1,2,1,2,2,1,0,3,2,2,2,1
M,First,2,2,0,1,2,1,0,0,4,1,1,0,0,0,0,1,1,0,0,0
F,First,2,1,0,1,1,1,0,1,1,2,2,3,2,1,1,1,1,1,1,1
F,First,2,2,0,0,1,1,1,0,0,4,1,1,0,0,0,1,2,0,1,0
F,First,2,1,4,4,0,1,5,3,0,2,1,4,0,5,0,4,3,1,0,2
M,First,5,4,2,1,4,2,5,2,5,4,4,5,1,3,3,4,4,4,2,2
M,First,4,4,1,1,1,2,3,2,4,3,3,1,2,2,0,4,3,1,1,1
M,First,5,5,0,0,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5
M,First,4,3,0,0,2,4,1,3,2,3,2,3,4,2,5,3,4,2,5,3
M,First,2,1,0,0,1,0,0,2,4,4,2,1,2,1,1,4,2,3,0,1
F,First,4,2,0,1,3,3,1,2,3,3,3,3,3,3,4,3,4,1,3,2
M,First,5,5,0,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
F,First,2,0,2,0,1,2,0,2,4,3,3,2,2,4,2,2,1,0,0,1
M,First,2,2,0,0,1,1,0,0,1,4,1,3,0,1,1,1,3,1,0,2
M,First,5,4,0,1,2,4,1,3,2,3,2,3,3,2,3,1,3,2,2,2
M,First,2,2,3,1,4,4,2,2,3,3,4,1,0,3,2,3,5,2,4,5
M,First,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M,First,3,2,1,2,2,3,0,5,1,2,5,0,1,0,4,5,4,1,5,0
M,First,3,2,4,1,3,3,2,4,5,4,3,2,2,4,3,4,5,1,0,1
F,First,1,3,1,3,1,1,1,1,1,2,1,2,2,2,1,2,1,1,1,2
F,First,3,3,0,1,3,3,0,2,1,4,2,4,1,1,2,3,3,3,1,2
M,First,2,3,2,4,1,5,2,5,1,3,3,1,1,4,0,2,2,5,2,0
M,First,2,2,0,0,2,1,1,1,2,1,2,3,1,2,1,3,2,2,2,3
M,First,4,3,2,2,0,2,3,3,2,3,3,3,3,3,3,4,4,2,4,2
M,First,1,2,2,2,1,1,1,1,2,2,2,1,2,1,2,2,2,2,3,1
M,First,2,3,0,1,3,4,2,4,2,3,2,2,3,1,3,2,4,2,3,4
M,First,2,1,1,0,2,3,3,2,1,2,2,1,1,2,1,4,5,0,1,1
M,First,3,1,0,2,2,1,1,1,2,2,2,3,1,1,1,3,4,2,2,3
M,First,4,3,4,4,5,5,3,3,4,5,3,5,2,4,3,4,3,4,2,2
F,First,1,1,0,1,0,1,1,1,0,2,0,0,0,1,0,2,0,0,1,0
M,First,4,3,4,1,3,5,0,2,3,2,4,3,3,4,2,4,2,1,4,2
M,First,3,3,0,2,2,2,0,3,2,4,2,2,1,2,1,3,2,2,0,0
M,First,3,1,3,1,2,3,1,2,1,3,1,1,1,3,2,3,3,1,2,2
M,First,1,0,3,1,4,1,1,1,2,0,3,3,3,1,1,2,1,2,1,1
M,First,3,3,3,3,3,3,1,2,2,2,2,3,3,3,3,3,3,3,3,3
F,First,3,1,0,0,2,3,4,3,1,1,2,2,1,2,3,4,3,3,2,3
F,First,2,4,0,2,2,3,0,2,4,3,1,3,2,1,0,1,2,4,0,0
M,First,0,0,0,5,5,1,5,1,0,0,5,5,0,5,0,5,5,0,5,5
M,First,3,3,2,1,4,1,4,2,4,4,3,2,1,4,1,4,1,4,3,2
